Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total
16,CAMPBELL CO PBLC SCHS,20,BROOKVILLE MIDDLE,6,8,,,,,,,,,,94,86,95,,,,,,275,,275.00
16,CAMPBELL CO PBLC SCHS,130,CONCORD ELEM,PK,5,12,,31,,23,26,27,30,33,,,,,,,,,182,,182.00
16,CAMPBELL CO PBLC SCHS,690,LEESVILLE ROAD ELEM,PK,5,22,,26,,50,39,36,54,53,,,,,,,,,280,,280.00
16,CAMPBELL CO PBLC SCHS,821,RUSTBURG ELEM,PK,5,23,,48,,43,45,41,48,46,,,,,,,,,294,,294.00
16,CAMPBELL CO PBLC SCHS,222,RUSTBURG HIGH,9,12,,,,,,,,,,,,,90,99,72,91,,352,,352.00
16,CAMPBELL CO PBLC SCHS,211,RUSTBURG MIDDLE,6,8,,,,,,,,,,104,91,102,,,,,,297,,297.00
16,CAMPBELL CO PBLC SCHS,60,TOMAHAWK ELEM,PK,5,22,,39,,47,49,33,43,37,,,,,,,,,270,,270.00
16,CAMPBELL CO PBLC SCHS,542,WILLIAM CAMPBELL HIGH,6,12,,,,,,,,,,34,37,38,36,41,31,26,,243,,243.00
16,CAMPBELL CO PBLC SCHS,710,YELLOW BRANCH ELEM,PK,5,29,,35,,42,54,47,41,43,,,,,,,,,291,,291.00
17,CAROLINE CO PBLC SCHS,620,BOWLING GREEN ELEM,PK,5,<,,25,,69,85,66,66,74,,,,,,,,,389,,389.00
17,CAROLINE CO PBLC SCHS,460,CAROLINE HIGH,9,12,,,,,,,,,,,,,160,139,123,134,,556,,556.00
17,CAROLINE CO PBLC SCHS,450,CAROLINE MIDDLE,6,8,,,,,,,,,,176,159,163,,,,,,498,,498.00
17,CAROLINE CO PBLC SCHS,9020,LEWIS & CLARK ELEM,PK,5,<,,31,,65,55,61,47,48,,,,,,,,,309,,309.00
17,CAROLINE CO PBLC SCHS,630,MADISON ELEM,PK,5,,,25,,33,39,36,36,40,,,,,,,,,209,,209.00
18,CARROLL CO PBLC SCHS,1230,CARROLL COUNTY HIGH,9,12,,,,,,,,,,,,,155,134,127,142,,558,,558.00
18,CARROLL CO PBLC SCHS,450,CARROLL COUNTY MIDDLE,6,8,,,,,,,,,,149,174,162,,,,,,485,,485.00
18,CARROLL CO PBLC SCHS,1180,FANCY GAP ELEM,PK,5,<,,<,,10,11,11,<,10,,,,,,,,,63,,63.00
18,CARROLL CO PBLC SCHS,1150,GLADESBORO ELEM,PK,5,<,,14,,14,<,<,15,15,,,,,,,,,80,,80.00
18,CARROLL CO PBLC SCHS,1210,GLADEVILLE ELEM,PK,5,16,,33,,25,24,31,31,34,,,,,,,,,194,,194.00
18,CARROLL CO PBLC SCHS,1170,HILLSVILLE ELEM,PK,5,31,,58,,47,45,51,49,46,,,,,,,,,327,,327.00
18,CARROLL CO PBLC SCHS,1160,LAUREL ELEM,PK,5,<,,19,,15,19,26,20,30,,,,,,,,,138,,138.00
18,CARROLL CO PBLC SCHS,1130,OAKLAND ELEM,PK,5,14,,18,,19,20,20,22,17,,,,,,,,,130,,130.00
18,CARROLL CO PBLC SCHS,1110,ST PAUL,PK,7,14,,34,,28,36,33,31,35,22,15,,,,,,,248,,248.00
19,CHARLES CITY CO PBLC SCHS,80,CHARLES CITY CO ELEM,PK,6,21,,35,,25,31,28,22,30,30,,,,,,,,222,,222.00
19,CHARLES CITY CO PBLC SCHS,100,CHARLES CITY CO HIGH,7,12,,,,,,,,,,,44,23,23,37,18,25,,170,,170.00
20,CHARLOTTE CO PBLC SCHS,470,BACON DISTRICT ELEM,PK,5,14,,<,,20,14,24,18,25,,,,,,,,,123,,123.00
20,CHARLOTTE CO PBLC SCHS,210,CENTRAL MIDDLE,6,8,,,,,,,,,,93,93,90,,,,,,276,,276.00
20,CHARLOTTE CO PBLC SCHS,100,EUREKA ELEM,PK,5,18,,44,,50,42,46,42,32,,,,,,,,,274,,274.00
20,CHARLOTTE CO PBLC SCHS,450,PHENIX ELEM,PK,5,22,,22,,27,15,28,23,20,,,,,,,,,157,,157.00
20,CHARLOTTE CO PBLC SCHS,460,RANDOLPH-HENRY HIGH,9,12,,,,,,,,,,,,,77,73,55,68,,273,,273.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,100,BUFORD MIDDLE,7,8,,,,,,,,,,,161,147,,,,,,308,,308.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,70,BURNLEY-MORAN ELEM,PK,4,14,,29,,45,27,45,37,,,,,,,,,,197,,197.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,140,CHARLOTTESVILLE HIGH,9,12,,,,,,,,,,,,,194,138,123,146,,601,<,602.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,50,CLARK ELEM,PK,4,42,,41,,49,40,43,44,,,,,,,,,,259,,259.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,90,GREENBRIER ELEM,PK,4,25,,28,,34,37,33,26,,,,,,,,,,183,,183.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,120,JACKSON-VIA ELEM,PK,4,30,,44,,45,39,44,40,,,,,,,,,,242,,242.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,10,JOHNSON ELEM,PK,4,35,,25,,28,33,34,39,,,,,,,,,,194,,194.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,40,VENABLE ELEM,PK,4,23,,23,,11,26,24,27,,,,,,,,,,134,,134.00
104,CHARLOTTESVILLE CITY PUBLIC SCHOOLS,110,WALKER UPPER ELEM,5,6,,,,,,,,,226,171,,,,,,,,397,<,398.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,630,B M WILLIAMS PRIMARY,PK,2,51,,134,,135,144,,,,,,,,,,,,464,,464.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,860,BUTTS ROAD INT,3,5,,,,,,,25,27,35,,,,,,,,,87,,87.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,770,BUTTS ROAD PRIMARY,PK,2,<,,18,,22,25,,,,,,,,,,,,70,,70.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,90,CAMELOT ELEM,PK,5,55,,48,,70,53,71,52,50,,,,,,,,,399,,399.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,900,CEDAR ROAD ELEM,PK,5,<,,12,,15,23,28,26,24,,,,,,,,,129,,129.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,700,CRESTWOOD INTERMEDIATE,3,5,,,,,,,127,133,124,,,,,,,,,384,,384.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,560,CRESTWOOD MIDDLE,6,8,,,,,,,,,,93,104,86,,,,,,283,,283.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,660,DEEP CREEK CENTRAL ELEM,PK,5,<,,23,,19,29,28,32,25,,,,,,,,,157,,157.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,210,DEEP CREEK ELEM,PK,5,<,,34,,41,56,51,50,47,,,,,,,,,282,,282.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,100,DEEP CREEK HIGH,9,12,,,,,,,,,,,,,209,217,163,137,,726,,726.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,610,DEEP CREEK MIDDLE,6,8,,,,,,,,,,87,75,86,,,,,,248,,248.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,640,EDWIN W CHITTUM ELEM,PK,5,<,,19,,13,18,28,19,23,,,,,,,,,126,,126.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,720,G A TREAKLE ELEM,PK,5,<,,55,,52,54,53,57,69,,,,,,,,,344,,344.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,50,GEORGE W CARVER INT,3,5,,,,,,,109,129,129,,,,,,,,,367,,367.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,820,GEORGETOWN PRIMARY,PK,3,49,,112,,107,109,119,,,,,,,,,,,496,,496.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,950,GRASSFIELD ELEM,PK,5,<,,10,,28,32,23,26,35,,,,,,,,,156,,156.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,960,GRASSFIELD HIGH,9,12,,,,,,,,,,,,,74,62,71,53,,260,,260.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,120,GREAT BRIDGE HIGH,9,12,,,,,,,,,,,,,78,99,53,67,,297,,297.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,850,GREAT BRIDGE INT,3,5,,,,,,,48,42,44,,,,,,,,,134,,134.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,590,GREAT BRIDGE MIDDLE,6,8,,,,,,,,,,61,73,53,,,,,,187,,187.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,680,GREAT BRIDGE PRIMARY,PK,2,<,,29,,36,37,,,,,,,,,,,,105,,105.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,870,GREENBRIER INT.,3,5,,,,,,,83,87,89,,,,,,,,,259,,259.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,972,GREENBRIER MIDDLE,6,8,,,,,,,,,,114,108,87,,,,,,309,,309.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,140,GREENBRIER PRIMARY,PK,2,<,,62,,69,86,,,,,,,,,,,,222,,222.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,340,HICKORY ELEM,PK,5,<,,17,,29,22,16,25,20,,,,,,,,,133,<,134.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,890,HICKORY HIGH,9,12,,,,,,,,,,,,,50,40,40,37,,167,,167.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,280,HICKORY MIDDLE,6,8,,,,,,,,,,68,54,58,,,,,,180,,180.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,920,HUGO A OWENS MIDDLE,6,8,,,,,,,,,,122,128,123,,,,,,373,,373.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,830,INDIAN RIVER HIGH,9,12,,,,,,,,,,,,,232,225,159,140,,756,,756.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,710,INDIAN RIVER MIDDLE,6,8,,,,,,,,,,173,147,148,,,,,,468,,468.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,973,JOLLIFF MIDDLE,6,8,,,,,,,,,,93,61,80,,,,,,234,,234.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,160,NORFOLK HIGHLANDS PRIMARY,PK,3,<,,42,,32,54,33,,,,,,,,,,,164,,164.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,80,OSCAR F SMITH HIGH,9,12,,,,,,,,,,,,,486,382,247,255,,1370,,1370.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,10,OSCAR SMITH MIDDLE,6,8,,,,,,,,,,270,252,225,,,,,,747,,747.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,730,PORTLOCK PRIMARY,PK,2,<,,123,,110,124,,,,,,,,,,,,362,,362.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,200,RENA B WRIGHT PRIMARY,PK,2,26,,68,,79,71,,,,,,,,,,,,244,,244.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,620,SOUTHEASTERN ELEM,PK,5,<,,16,,17,<,19,15,20,,,,,,,,,96,,96.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,600,SOUTHWESTERN ELEM,PK,5,34,,51,,59,41,59,62,46,,,,,,,,,352,,352.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,750,SPARROW ROAD INTERMEDIATE,4,5,,,,,,,,163,148,,,,,,,,,311,,311.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,40,THURGOOD MARSHALL ELEM,PK,5,36,,68,,83,66,74,74,65,,,,,,,,,466,,466.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,971,TRUITT INTERMEDIATE,3,5,,,,,,,75,74,78,,,,,,,,,227,,227.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,840,WESTERN BRANCH HIGH,9,12,,,,,,,,,,,,,196,164,133,138,,631,,631.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,810,WESTERN BRANCH INT,3,5,,,,,,,89,99,96,,,,,,,,,284,<,285.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,740,WESTERN BRANCH MIDDLE,6,8,,,,,,,,,,92,96,91,,,,,,279,,279.00
136,CHESAPEAKE CITY PUBLIC SCHOOLS,110,WESTERN BRANCH PRIMARY,PK,2,34,,86,,83,86,,,,,,,,,,,,289,,289.00
21,CHESTERFIELD CO PBLC SCHS,620,A M DAVIS ELEM,PK,5,40,,64,,51,68,51,48,58,,,,,,,,,380,,380.00
21,CHESTERFIELD CO PBLC SCHS,861,ALBERTA SMITH ELEM,PK,5,<,,19,,21,21,22,20,26,,,,,,,,,131,,131.00
21,CHESTERFIELD CO PBLC SCHS,631,BAILEY BRIDGE MIDDLE,6,8,,,,,,,,,,125,125,99,,,,,,349,,349.00
21,CHESTERFIELD CO PBLC SCHS,660,BELLWOOD ELEM,PK,5,36,,68,,70,57,59,58,59,,,,,,,,,407,,407.00
21,CHESTERFIELD CO PBLC SCHS,430,BENSLEY ELEM,PK,5,51,,69,,92,89,92,87,86,,,,,,,,,566,<,567.00
21,CHESTERFIELD CO PBLC SCHS,510,BETTIE WEAVER ELEM,PK,5,,,<,,<,<,<,<,<,,,,,,,,,12,,12.00
21,CHESTERFIELD CO PBLC SCHS,130,BEULAH ELEM,PK,5,17,,70,,61,72,60,72,75,,,,,,,,,427,,427.00
21,CHESTERFIELD CO PBLC SCHS,20,BON AIR ELEM,PK,5,,,23,,35,23,33,31,31,,,,,,,,,176,,176.00
21,CHESTERFIELD CO PBLC SCHS,50,C C WELLS ELEM,PK,5,<,,29,,19,42,31,26,30,,,,,,,,,177,,177.00
21,CHESTERFIELD CO PBLC SCHS,492,C E CURTIS ELEM,PK,5,<,,36,,48,49,53,52,51,,,,,,,,,291,,291.00
21,CHESTERFIELD CO PBLC SCHS,30,CARVER COLLEGE AND CAREER ACADEMY,9,12,,,,,,,,,,,,,37,37,17,44,,135,,135.00
21,CHESTERFIELD CO PBLC SCHS,420,CARVER MIDDLE,6,8,,,,,,,,,,168,143,145,,,,,,456,,456.00
21,CHESTERFIELD CO PBLC SCHS,150,CLOVER HILL ELEM,PK,5,<,,22,,11,14,27,24,33,,,,,,,,,134,,134.00
21,CHESTERFIELD CO PBLC SCHS,740,CLOVER HILL HIGH,9,12,,,,,,,,,,,,,84,107,76,90,,357,,357.00
21,CHESTERFIELD CO PBLC SCHS,840,COSBY HIGH,9,12,,,,,,,,,,,,,54,57,58,31,,200,,200.00
21,CHESTERFIELD CO PBLC SCHS,560,CRESTWOOD ELEM,PK,5,16,,33,,36,40,45,45,42,,,,,,,,,257,,257.00
21,CHESTERFIELD CO PBLC SCHS,480,ECOFF ELEM,PK,5,16,,48,,70,53,52,62,50,,,,,,,,,351,,351.00
21,CHESTERFIELD CO PBLC SCHS,870,ELIZABETH DAVIS MIDDLE,6,8,,,,,,,,,,146,128,134,,,,,,408,,408.00
21,CHESTERFIELD CO PBLC SCHS,850,ELIZABETH SCOTT ELEM,PK,5,18,,65,,88,85,65,69,73,,,,,,,,,463,<,470.00
21,CHESTERFIELD CO PBLC SCHS,390,ENON ELEM,PK,5,<,,25,,23,31,31,15,23,,,,,,,,,149,,149.00
21,CHESTERFIELD CO PBLC SCHS,350,ETTRICK ELEM,PK,5,32,,53,,39,63,50,59,63,,,,,,,,,359,,359.00
21,CHESTERFIELD CO PBLC SCHS,300,EVERGREEN ELEM,PK,5,<,,40,,42,34,36,43,38,,,,,,,,,233,,233.00
21,CHESTERFIELD CO PBLC SCHS,590,FALLING CREEK ELEM,PK,5,47,,107,,96,81,77,97,76,,,,,,,,,581,,581.00
21,CHESTERFIELD CO PBLC SCHS,670,FALLING CREEK MIDDLE,6,8,,,,,,,,,,313,278,214,,,,,,805,,805.00
21,CHESTERFIELD CO PBLC SCHS,180,GRANGE HALL ELEM,PK,5,<,,15,,13,16,19,16,15,,,,,,,,,94,,94.00
21,CHESTERFIELD CO PBLC SCHS,70,GREENFIELD ELEM,PK,5,,,22,,30,20,33,19,25,,,,,,,,,149,,149.00
21,CHESTERFIELD CO PBLC SCHS,460,HARROWGATE ELEM,PK,5,32,,61,,47,49,73,75,63,,,,,,,,,400,,400.00
21,CHESTERFIELD CO PBLC SCHS,60,HOPKINS ROAD ELEM,PK,5,21,,44,,61,52,67,55,49,,,,,,,,,349,,349.00
21,CHESTERFIELD CO PBLC SCHS,550,J A CHALKLEY ELEM,PK,5,64,,95,,83,89,93,94,98,,,,,,,,,616,,616.00
21,CHESTERFIELD CO PBLC SCHS,650,J B WATKINS ELEM,PK,5,<,,16,,27,19,24,25,13,,,,,,,,,125,,125.00
21,CHESTERFIELD CO PBLC SCHS,500,J G HENING ELEM,PK,5,20,,69,,67,70,78,75,67,,,,,,,,,446,,446.00
21,CHESTERFIELD CO PBLC SCHS,400,JACOBS ROAD ELEM,PK,5,17,,42,,52,53,56,58,52,,,,,,,,,330,,330.00
21,CHESTERFIELD CO PBLC SCHS,770,JAMES RIVER HIGH,9,12,,,,,,,,,,,,,122,105,102,79,,408,,408.00
21,CHESTERFIELD CO PBLC SCHS,10,LLOYD C BIRD HIGH,9,12,,,,,,,,,,,,,208,208,163,149,,728,<,729.00
21,CHESTERFIELD CO PBLC SCHS,632,MANCHESTER HIGH,9,12,,,,,,,,,,,,,157,136,115,115,,523,,523.00
21,CHESTERFIELD CO PBLC SCHS,600,MANCHESTER MIDDLE,6,8,,,,,,,,,,199,183,160,,,,,,542,,542.00
21,CHESTERFIELD CO PBLC SCHS,780,MARGUERITE F CHRISTIAN ELEM,PK,5,19,,42,,48,59,63,48,45,,,,,,,,,324,,324.00
21,CHESTERFIELD CO PBLC SCHS,370,MATOACA ELEM,PK,5,16,,36,,37,29,39,33,37,,,,,,,,,227,,227.00
21,CHESTERFIELD CO PBLC SCHS,530,MATOACA HIGH,9,12,,,,,,,,,,,,,134,129,113,117,,493,,493.00
21,CHESTERFIELD CO PBLC SCHS,110,MATOACA MIDDLE,6,8,,,,,,,,,,127,99,99,,,,,,325,,325.00
21,CHESTERFIELD CO PBLC SCHS,580,MEADOWBROOK HIGH,9,12,,,,,,,,,,,,,286,277,202,184,,949,<,951.00
21,CHESTERFIELD CO PBLC SCHS,320,MIDLOTHIAN HIGH,9,12,,,,,,,,,,,,,55,50,36,38,,179,,179.00
21,CHESTERFIELD CO PBLC SCHS,40,MIDLOTHIAN MIDDLE,6,8,,,,,,,,,,32,46,33,,,,,,111,,111.00
21,CHESTERFIELD CO PBLC SCHS,280,MONACAN HIGH,9,12,,,,,,,,,,,,,98,91,82,75,,346,,346.00
21,CHESTERFIELD CO PBLC SCHS,360,O B GATES ELEM,PK,5,<,,24,,36,39,28,21,28,,,,,,,,,182,,182.00
21,CHESTERFIELD CO PBLC SCHS,380,PROVIDENCE ELEM,PK,5,24,,57,,62,43,49,47,66,,,,,,,,,348,,348.00
21,CHESTERFIELD CO PBLC SCHS,690,PROVIDENCE MIDDLE,6,8,,,,,,,,,,138,161,148,,,,,,447,,447.00
21,CHESTERFIELD CO PBLC SCHS,700,REAMS ROAD ELEM,PK,5,24,,42,,43,57,33,45,45,,,,,,,,,289,,289.00
21,CHESTERFIELD CO PBLC SCHS,730,ROBIOUS ELEM,PK,5,<,,<,,13,<,10,<,11,,,,,,,,,60,,60.00
21,CHESTERFIELD CO PBLC SCHS,760,ROBIOUS MIDDLE,6,8,,,,,,,,,,99,95,95,,,,,,289,,289.00
21,CHESTERFIELD CO PBLC SCHS,720,SALEM CHURCH ELEM,PK,5,16,,49,,43,50,40,56,31,,,,,,,,,285,,285.00
21,CHESTERFIELD CO PBLC SCHS,722,SALEM CHURCH MIDDLE,6,8,,,,,,,,,,147,152,158,,,,,,457,<,458.00
21,CHESTERFIELD CO PBLC SCHS,800,SPRING RUN ELEM,PK,5,,,23,,19,25,31,23,21,,,,,,,,,142,,142.00
21,CHESTERFIELD CO PBLC SCHS,340,SWIFT CREEK ELEM,PK,5,,,20,,18,17,22,21,14,,,,,,,,,112,,112.00
21,CHESTERFIELD CO PBLC SCHS,270,SWIFT CREEK MIDDLE,6,8,,,,,,,,,,69,61,67,,,,,,197,,197.00
21,CHESTERFIELD CO PBLC SCHS,410,THELMA CRENSHAW ELEM,PK,5,15,,44,,49,38,54,40,65,,,,,,,,,305,,305.00
21,CHESTERFIELD CO PBLC SCHS,610,THOMAS DALE HIGH,9,12,,,,,,,,,,,,,218,172,161,141,,692,<,695.00
21,CHESTERFIELD CO PBLC SCHS,880,TOMAHAWK CREEK MIDDLE ,6,8,,,,,,,,,,61,54,50,,,,,,165,,165.00
21,CHESTERFIELD CO PBLC SCHS,290,W W GORDON ELEM,PK,5,,,<,,11,11,17,<,15,,,,,,,,,68,,68.00
21,CHESTERFIELD CO PBLC SCHS,860,WINTERPOCK ELEM,PK,5,<,,<,,<,10,19,13,12,,,,,,,,,67,,67.00
21,CHESTERFIELD CO PBLC SCHS,440,WOOLRIDGE ELEM,PK,5,,,11,,11,14,16,12,14,,,,,,,,,78,,78.00
22,CLARKE CO PBLC SCHS,250,BOYCE ELEM,KG,5,,,11,,16,18,19,18,19,,,,,,,,,101,,101.00
22,CLARKE CO PBLC SCHS,10,CLARKE COUNTY HIGH,9,12,,,,,,,,,,,,,47,35,34,19,,135,,135.00
22,CLARKE CO PBLC SCHS,290,D G COOLEY ELEM,PK,5,15,,16,,18,26,13,21,28,,,,,,,,,137,,137.00
22,CLARKE CO PBLC SCHS,280,JOHNSON-WILLIAMS MIDDLE,6,8,,,,,,,,,,41,37,33,,,,,,111,,111.00
202,COLONIAL BEACH PUBLIC SCHOOLS,22,COLONIAL BEACH ELEM,PK,7,<,,12,,17,30,28,29,22,29,27,,,,,,,195,,195.00
202,COLONIAL BEACH PUBLIC SCHOOLS,21,COLONIAL BEACH HIGH,8,12,,,,,,,,,,,,32,29,18,27,28,,134,,134.00
106,COLONIAL HEIGHTS CITY PUBLIC SCHOOLS,40,COLONIAL HEIGHTS HIGH,9,12,,,,,,,,,,,,,138,104,79,88,,409,,409.00
106,COLONIAL HEIGHTS CITY PUBLIC SCHOOLS,20,COLONIAL HEIGHTS MIDDLE,6,8,,,,,,,,,,117,112,104,,,,,,333,,333.00
106,COLONIAL HEIGHTS CITY PUBLIC SCHOOLS,50,LAKEVIEW ELEM,PK,5,17,,31,,29,45,42,42,34,,,,,,,,,240,,240.00
106,COLONIAL HEIGHTS CITY PUBLIC SCHOOLS,30,NORTH ELEM,PK,5,17,,40,,40,42,47,37,30,,,,,,,,,253,,253.00
106,COLONIAL HEIGHTS CITY PUBLIC SCHOOLS,60,TUSSING ELEM,PK,5,<,,48,,57,36,48,48,52,,,,,,,,,289,,289.00
107,COVINGTON CITY PUBLIC SCHOOLS,350,COVINGTON HIGH,8,12,,,,,,,,,,,,32,35,36,46,34,,183,,183.00
107,COVINGTON CITY PUBLIC SCHOOLS,260,EDGEMONT PRIMARY,PK,3,<,,28,,31,24,27,,,,,,,,,,,115,,115.00
107,COVINGTON CITY PUBLIC SCHOOLS,360,JETER-WATSON INTERMEDIATE,4,7,,,,,,,,46,44,41,38,,,,,,,169,,169.00
23,CRAIG CO PBLC SCHS,11,CRAIG COUNTY HIGH,6,12,,,,,,,,,,16,19,26,25,29,17,33,,165,,165.00
23,CRAIG CO PBLC SCHS,10,MCCLEARY ELEM,PK,5,<,,25,,18,29,28,24,34,,,,,,,,,165,,165.00
24,CULPEPER CO PBLC SCHS,240,A G RICHARDSON ELEM,PK,5,19,,35,,39,45,43,38,47,,,,,,,,,266,,266.00
24,CULPEPER CO PBLC SCHS,480,CULPEPER COUNTY HIGH,9,12,,,,,,,,,,,,,119,114,102,87,,422,,422.00
24,CULPEPER CO PBLC SCHS,20,CULPEPER MIDDLE,6,8,,,,,,,,,,196,141,153,,,,,,490,,490.00
24,CULPEPER CO PBLC SCHS,50,EASTERN VIEW HIGH,9,12,,,,,,,,,,,,,150,149,129,119,,547,,547.00
24,CULPEPER CO PBLC SCHS,450,EMERALD HILL ELEM,PK,5,10,,43,,38,32,40,34,39,,,,,,,,,236,,236.00
24,CULPEPER CO PBLC SCHS,470,FARMINGTON ELEM,PK,5,28,,79,,59,55,66,76,61,,,,,,,,,424,,424.00
24,CULPEPER CO PBLC SCHS,581,FLOYD T BINNS MIDDLE,6,8,,,,,,,,,,151,125,133,,,,,,409,,409.00
24,CULPEPER CO PBLC SCHS,582,GALBREATH-MARSHALL BLDG,PK,PK,<,,,,,,,,,,,,,,,,,<,,<
24,CULPEPER CO PBLC SCHS,10,PEARL SAMPLE ELEM,PK,5,17,,57,,49,53,64,68,63,,,,,,,,,371,,371.00
24,CULPEPER CO PBLC SCHS,460,SYCAMORE PARK ELEM,PK,5,21,,71,,67,67,58,84,64,,,,,,,,,432,,432.00
24,CULPEPER CO PBLC SCHS,40,YOWELL ELEM,PK,5,14,,45,,55,53,57,59,59,,,,,,,,,342,,342.00
25,CUMBERLAND CO PBLC SCHS,140,CUMBERLAND ELEM,PK,4,13,,43,,57,64,67,70,,,,,,,,,,314,,314.00
25,CUMBERLAND CO PBLC SCHS,151,CUMBERLAND HIGH,9,12,,,,,,,,,,,,,80,72,73,50,,275,,275.00
25,CUMBERLAND CO PBLC SCHS,152,CUMBERLAND MIDDLE,5,8,,,,,,,,,75,81,66,66,,,,,,288,,288.00
108,DANVILLE CITY PUBLIC SCHOOLS,490,E. A. GIBSON ELEM,KG,5,,,43,,47,41,54,44,44,,,,,,,,,273,,273.00
108,DANVILLE CITY PUBLIC SCHOOLS,20,FOREST HILLS ELEM,KG,5,,,10,,10,11,15,<,<,,,,,,,,,60,,60.00
108,DANVILLE CITY PUBLIC SCHOOLS,190,G.L.H. JOHNSON ELEM,KG,5,,,31,,41,42,53,39,43,,,,,,,,,249,,249.00
108,DANVILLE CITY PUBLIC SCHOOLS,1374,GALILEO MAGNET HIGH,9,12,,,,,,,,,,,,,21,25,13,10,,69,,69.00
108,DANVILLE CITY PUBLIC SCHOOLS,210,GEORGE WASHINGTON HIGH,9,12,,,,,,,,,,,,,144,178,106,47,,475,,475.00
108,DANVILLE CITY PUBLIC SCHOOLS,200,GROVE PARK PRESCHOOL,PK,PK,35,,,,,,,,,,,,,,,,,35,,35.00
108,DANVILLE CITY PUBLIC SCHOOLS,260,O. TRENT BONNER MIDDLE,6,8,,,,,,,,,,132,111,86,,,,,,329,,329.00
108,DANVILLE CITY PUBLIC SCHOOLS,250,PARK AVENUE ELEM,KG,5,,,32,,28,25,37,30,31,,,,,,,,,183,,183.00
108,DANVILLE CITY PUBLIC SCHOOLS,40,SCHOOLFIELD ELEM,KG,5,,,32,,47,48,48,50,37,,,,,,,,,262,,262.00
108,DANVILLE CITY PUBLIC SCHOOLS,30,THE NORTHSIDE PRESCHOOL,PK,PK,47,,,,,,,,,,,,,,,,,47,,47.00
108,DANVILLE CITY PUBLIC SCHOOLS,1372,WESTWOOD MIDDLE,6,8,,,,,,,,,,81,84,80,,,,,,245,,245.00
108,DANVILLE CITY PUBLIC SCHOOLS,220,WOODBERRY HILLS ELEM,KG,5,,,30,,44,31,42,37,36,,,,,,,,,220,,220.00
917,DEPARTMENT OF JUVENILE JUSTICE,101,YVONNE B. MILLER HIGH SCHOOL,6,12,,,,,,,,,,,,<,20,33,40,41,,137,,137.00
